门,纲,目,科,属,种,缩写,序列号
Cyanobacteria,Cyanophyceae,Nostocales,aphanizomenonaceae,anabaenopsis,anabaenopsis circularis,anaci,GCF_002367975.1
Cyanobacteria,Cyanophyceae,Nostocales,Calotrichaceae,Calothrix,Calothrix brevissima,Calbr,GCF_002367995.1
Cyanobacteria,Cyanophyceae,Nostocales,Calotrichaceae,Calothrix,Calothrix parasitica,Calpara,GCF_002368095.1
Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Microchaete,Microchaete diplosiphon,Micdi,GCF_002368275.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Chroococcaceae,Chondrocystis,Chondrocystis sp.NIES-4102,Chosp,GCF_002368355.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Tychonema,Tychonema bourrellyi,Tycbo,GCF_002412335.2
Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Limnothrix,Limnothrix?sp.PR1529,LimspPR,GCF_002742025.1
Cyanobacteria,Cyanophyceae,Thermostichales,Thermostichaceae,Thermostichus,Thermostichus lividus,Theli,GCF_002754935.1
Cyanobacteria,Cyanophyceae,Nostocales,Hapalosiphonaceae,aischerella,aischerella muscicola,aismu,GCF_002870665.1
Cyanobacteria,Cyanophyceae,Nostocales,aphanizomenonaceae,Cuspidothrix,Cuspidothrix issatschenkoi,Cusis,GCF_002934005.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Chroococcaceae,Gloeocapsopsis,Gloeocapsopsis dulcis,Glodu,GCF_002964865.1
Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia,Merismopedia glauca,Mergl,GCF_003003775.1
Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon,Chamaesiphon polymorphus,Chapo,GCF_003003845.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Entophysalidaceae,Chlorogloea,Chlorogloea?sp.CCaLa695,Chlsp,GCF_003003885.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Chroococcaceae,Cyanosarcina,Cyanosarcina burmensis,Cyabu,GCF_003004015.1
Cyanobacteria,Cyanophyceae,Synechococcales,Prochlorococcaceae,Cyanobium,Cyanobium usitatum,Cyaus,GCF_003011885.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp.BG0011,CyaspBG,GCF_003013815.1
Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis?sp.IPPaSB-1465,SynspI,GCF_003015225.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis,Microcystis?sp.0824,Micsp,GCF_003112475.1
Cyanobacteria,Cyanophyceae,Nostocales,Hapalosiphonaceae,aischerella,aischerella thermalis,aisth,GCF_003346965.1
Cyanobacteria,Cyanophyceae,Synechococcales,Thermosynechococcaceae,Thermosynechococcus,Thermosynechococcus elongatusPKUaC-SCTE542,Theel,GCF_003555505.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,Okeania,Okeania hirsuta,Okehi,GCF_003838225.1
Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Pseudanabaena,Pseudanabaena?sp.aBRG5-3,Psespa,GCF_003967015.1
Cyanobacteria,Cyanophyceae,Thermostichales,Thermostichaceae,Thermostichus,Thermostichus vulcanus,Thevu,GCF_003990665.2
Cyanobacteria,Cyanophyceae,Nostocales,Hapalosiphonaceae,Westiellopsis,Westiellopsis proliaica,Wespr,GCF_004323185.1
